Speech Duration,Pitch,Speech Rate,Jitter,Shimmer,MFCCs,Mood,Sentiment Score,Speaker ID,Age Group,Gender,Language
8.27,248.81,128,0.045,0.089,"[8.662, -6.871, -4.759, -6.037, -5.48, -9.004, 8.653, 1.404, 7.461, 6.387, -5.539, -6.327, 1.172]",Happy,0.57,7001b445-c0db-4274-b002-4b27ab87386a,Adult,Male,English
5.5,289.91,159,0.027,0.075,"[2.791, 3.136, -1.023, 4.211, 7.728, -7.288, 2.19, 1.4, -5.402, 0.457, 1.299, 4.543, 8.783]",Surprised,0.4,23969e86-696a-4a2a-86d2-a09cc081f707,Adult,Male,English
17.35,129.21,65,0.046,0.013,"[2.625, -3.879, 9.808, -5.345, -0.451, 3.692, 5.021, 5.139, -6.006, 4.746, 7.929, -7.041, 8.687]",Bored,0.06,0dcbe507-ddba-467c-bfbe-785643b683f9,Senior,Female,English
10.15,223.78,159,0.068,0.019,"[3.721, -9.683, -9.574, -3.922, -6.044, -4.741, 2.661, 1.034, 9.312, -7.924, 4.03, -1.723, 3.765]",Excited,0.69,92c226e1-6482-4c2a-a99b-954b3103944d,Child,Female,English
10.59,273.82,159,0.075,0.067,"[-5.677, -1.314, -4.48, -0.814, -0.913, -4.698, -5.903, -9.2, 1.642, -7.31, 0.045, -4.908, -4.396]",Angry,-0.63,8d91918e-c2e4-4484-97dd-4a4d141cadd9,Senior,Female,English
13.39,123.77,71,0.05,0.029,"[9.588, 2.478, 5.101, 3.241, -5.253, 8.433, -0.314, -3.914, 6.455, -4.131, 6.265, -1.221, -7.0]",Bored,-0.07,4cb4f9f6-6bbd-45d2-8f10-36d26028f5f3,Adult,Male,English
8.08,157.53,107,0.061,0.031,"[-1.485, 4.983, 8.643, -6.558, -1.174, 5.711, 4.247, 3.896, -7.518, 7.064, 4.092, 5.622, -3.302]",Confused,0.0,8e54e79e-b789-47de-bddf-22dadd9e5014,Adult,Male,English
9.43,302.32,171,0.028,0.025,"[-7.031, -2.695, -7.861, 8.205, -1.905, 7.316, 3.926, 4.298, -7.02, 7.232, 5.268, 8.659, 6.784]",Angry,-0.64,067d1ff5-a2b8-4b0f-adcc-34169ca7de31,Child,Male,English
9.1,245.49,155,0.021,0.065,"[7.395, -5.853, 7.652, -1.956, 8.559, 2.775, -6.956, -4.874, 2.227, -8.674, 3.124, -1.141, 5.525]",Happy,0.79,1d0863ee-339a-4a5e-90ef-2ccef24de94f,Adult,Female,English
6.14,220.01,182,0.013,0.032,"[3.351, -2.702, -4.066, 2.301, -8.993, -5.996, -6.87, -2.404, -5.836, -2.409, -4.373, 3.798, -5.168]",Excited,0.62,c5b1d9a1-1cbd-4cb4-adbe-e631577fc662,Adult,Female,English
5.68,223.79,147,0.088,0.014,"[-0.816, 2.823, 6.055, 2.053, 2.707, -7.442, 7.478, -6.994, 2.998, 9.089, -9.122, 5.152, -1.858]",Happy,0.62,0c467e51-74cf-4a67-bf16-549edfa61a51,Senior,Male,English
14.79,233.18,139,0.095,0.072,"[-7.659, -2.42, 2.224, 7.047, 3.759, -4.062, -7.405, -6.898, -2.594, -8.588, 4.475, -5.29, -9.28]",Fearful,-0.55,f64d2b61-08cf-4d94-921c-e93604469bf2,Child,Female,English
12.62,154.72,106,0.079,0.038,"[-8.797, -5.309, -8.698, -0.356, -8.152, -3.273, 6.886, -8.021, 7.557, -3.016, 6.677, 1.811, -8.814]",Neutral,0.0,ac87567a-1f46-453b-b5aa-5b09f9d45420,Senior,Female,English
13.88,179.92,113,0.056,0.061,"[5.8, 1.186, -1.266, -0.718, 4.053, -8.52, 7.403, -8.127, -6.147, 6.493, 6.652, -6.48, -4.747]",Confused,-0.4,f5c74da9-36a0-44d4-b02c-97d44de90c2d,Senior,Male,English
10.8,258.8,193,0.072,0.017,"[-1.289, 3.212, 5.229, -3.575, -2.682, 8.882, -0.018, 6.742, 5.901, -2.897, -9.492, -4.164, -6.923]",Angry,-0.86,2b0c2ece-1ce1-458d-a945-6e1ab5ad646d,Child,Female,English
12.59,149.49,53,0.075,0.035,"[4.108, -3.979, 5.922, -4.733, -2.961, 9.193, 2.748, -6.968, 3.411, 9.492, -5.239, 6.049, -6.766]",Bored,-0.07,85dc5f09-5839-45b4-b082-3b1f6321a07f,Senior,Male,English
9.17,214.87,147,0.031,0.062,"[-9.845, -4.979, -8.143, -5.134, -1.685, 6.444, 8.336, -5.076, 0.471, -2.448, -7.529, 0.493, -2.385]",Happy,0.57,281bf5f9-f7e5-4772-8585-a42c53978666,Child,Female,English
14.66,215.74,132,0.034,0.053,"[-3.506, 2.92, -8.495, 5.339, -9.053, 9.861, -4.124, -7.116, 8.318, -0.325, -3.622, -7.209, 1.703]",Fearful,-0.17,3a8ef4f4-87ea-42dc-8ba7-b45a59bb641d,Child,Male,English
7.4,287.51,142,0.039,0.081,"[-0.878, -2.441, 2.95, -8.057, -2.405, 6.452, 1.344, 6.518, -7.59, -7.679, 2.562, 8.307, -6.265]",Angry,-0.62,3efb9db1-0383-44e3-b186-c95500f15498,Senior,Female,English
8.45,216.0,148,0.026,0.021,"[4.264, -6.569, -8.344, 1.235, 7.768, -5.58, -3.771, 9.854, 9.544, -8.189, -5.719, -3.877, -3.533]",Fearful,-0.57,27b2bb73-d5a2-4fdb-9ccc-7ff7cd8a3ae0,Senior,Male,English
9.07,325.72,180,0.02,0.075,"[-9.798, -5.171, 1.357, 3.493, 9.087, 1.052, -7.222, -3.124, -6.884, 1.168, -2.988, -8.22, -2.292]",Angry,-0.52,d563623a-556e-41c0-9acf-825829433cf2,Child,Female,English
4.69,277.7,157,0.018,0.03,"[2.448, -5.148, -6.709, -3.254, 9.866, -9.277, 4.709, -0.673, 9.085, -2.145, -6.308, -2.975, -1.504]",Surprised,0.22,a6e7c2e3-0933-421a-842f-f65968a35844,Child,Male,English
5.61,234.32,199,0.032,0.063,"[1.313, 9.961, 2.849, -3.771, 4.204, 5.305, 7.919, 0.725, -4.704, -2.602, 0.854, 8.729, 8.648]",Excited,0.88,a9343822-0b23-4f8c-a291-db78b0bb3be9,Adult,Male,English
8.84,147.7,114,0.01,0.027,"[-9.775, -7.341, -3.955, -7.869, -0.558, -8.128, 6.671, 8.74, 2.505, -5.827, 2.011, 3.062, 9.509]",Neutral,0.0,7df0f353-5d93-4c78-ac86-02bd5f301a4b,Senior,Male,English
9.73,209.63,124,0.049,0.031,"[5.539, 0.364, 6.732, 6.242, -2.848, 8.268, -5.662, -3.652, 1.784, -5.483, -3.512, -2.473, 8.608]",Fearful,-0.16,0daa30bd-948f-41c9-a157-dc2e239737c0,Child,Male,English
6.74,219.16,156,0.096,0.032,"[-3.803, 7.391, 5.561, 4.319, -6.949, 7.399, 7.028, 2.668, -0.463, 8.543, -5.606, 4.24, 2.705]",Happy,0.74,0c83b0bf-27f1-4d92-830d-7348986531c3,Senior,Female,English
6.27,284.74,160,0.077,0.052,"[-8.235, -3.182, 8.551, 2.927, 8.963, -2.208, -1.795, 2.47, -4.538, 5.659, 7.252, -5.067, -2.983]",Surprised,0.14,4c0702e4-e255-4994-b050-63ac10677d3f,Adult,Male,English
8.2,223.22,154,0.071,0.085,"[5.359, 3.591, -7.702, 9.574, 9.472, -3.102, 6.768, 6.089, -6.999, -1.248, -6.389, 8.356, -9.338]",Fearful,-0.52,4ffc7128-d594-4308-a60a-741f53b2e337,Adult,Female,English
11.89,162.01,114,0.081,0.081,"[-3.091, -0.165, 9.686, 2.44, 9.639, -8.366, 4.722, -1.223, -3.535, 0.362, 5.713, 2.36, -0.567]",Confused,0.17,2d7c875e-5ee1-40cb-9d77-20630a297b36,Senior,Male,English
16.72,113.43,90,0.012,0.038,"[-8.697, -6.077, 3.2, 8.394, 1.394, 7.632, -3.748, 7.336, 5.044, 9.909, -6.278, -1.466, 2.206]",Sad,-0.38,2c5edb22-43d9-46b2-963b-db91c23d9f50,Adult,Male,English
13.8,189.28,99,0.041,0.098,"[-2.937, 4.714, -7.233, -6.541, -7.283, 4.002, -9.793, 8.607, -6.938, -9.273, -7.286, 6.273, 2.044]",Confused,-0.1,29dcb6fa-20a8-422d-8a15-5519a98424fa,Child,Male,English
16.09,142.45,91,0.092,0.02,"[9.646, -0.759, -4.014, -9.542, -4.859, -7.021, -6.338, 7.618, -0.445, -6.381, -8.696, 2.989, 4.705]",Calm,0.06,71c14a6f-861a-4220-9225-57e1d6e17275,Adult,Female,English
6.4,218.08,192,0.094,0.012,"[-6.838, 5.267, -8.716, -6.985, 7.789, 4.54, 9.829, -0.452, -5.997, -8.204, 0.124, 6.592, 7.952]",Excited,0.89,a40b7ab5-7e63-47e2-9aa0-f3df96d10fa8,Adult,Male,English
16.79,140.9,50,0.053,0.067,"[4.117, -1.989, -6.83, 0.379, -2.361, 9.407, 4.14, 8.333, 2.013, 0.459, 2.906, 2.06, -2.712]",Sad,-0.24,f009b3fe-0801-4f79-93da-14d88c997759,Adult,Female,English
13.72,104.02,63,0.015,0.048,"[2.554, -6.736, -9.91, 4.811, 5.12, 0.157, -7.596, -5.03, 7.898, 0.38, -6.69, 3.968, 4.67]",Sad,-0.2,03642cb6-d442-4f2a-ad1e-cfd51c59e976,Child,Male,English
3.55,245.13,138,0.072,0.046,"[-2.146, 5.033, 2.555, 0.253, -6.559, -9.13, 7.851, 4.5, -9.665, 9.405, 4.647, -2.947, -4.775]",Surprised,0.31,0c8a2555-e0c0-4aaf-9873-6e557b41e9db,Child,Female,English
12.15,185.45,114,0.084,0.058,"[1.211, 5.19, -9.311, -5.894, -1.344, -4.947, 0.158, 1.094, -3.219, -0.68, 4.726, 6.829, 8.608]",Fearful,-0.41,4c96b448-2d8a-41d8-bcac-d8563a312f12,Adult,Male,English
10.81,207.78,153,0.097,0.082,"[-4.961, 8.298, -1.832, -9.48, 6.14, 0.785, -8.803, -8.469, 8.675, 6.1, 5.105, -1.406, -5.39]",Excited,0.69,2af88bb5-b83c-4560-a5e6-b936b9689f10,Adult,Female,English
18.47,164.79,58,0.015,0.072,"[5.333, -3.254, 1.911, 4.906, -3.533, -0.814, -7.997, -6.861, -1.998, 4.4, 3.717, 8.055, 1.244]",Bored,-0.27,15b2be43-caf0-46e2-8d20-b64a12d2c54b,Senior,Male,English
8.36,200.62,144,0.056,0.019,"[-6.246, -1.259, -6.184, 5.181, -3.739, -5.93, 9.405, -5.187, -4.915, 3.71, -7.176, 8.854, -8.115]",Fearful,-0.35,eb6bc726-89b5-41ea-9ca3-3afd05c96e78,Senior,Female,English
13.75,241.27,140,0.038,0.09,"[-7.742, 8.237, 9.015, 8.554, -3.295, 1.812, -4.535, 0.728, 9.597, -1.483, 6.396, -2.5, -0.992]",Fearful,-0.56,876a8de5-ca21-4c6b-915f-4534baf3204b,Senior,Female,English
8.7,223.51,136,0.081,0.065,"[1.814, -1.12, 2.815, 4.531, -1.552, 8.897, -0.211, -6.829, -1.453, -3.805, 7.163, 1.862, -8.992]",Happy,0.42,20fd3bb9-5217-41a8-967f-ad892739d0f6,Adult,Male,English
7.84,293.34,142,0.089,0.032,"[5.954, -2.572, 6.79, 0.138, -7.386, -8.781, -1.476, 2.4, 8.21, 0.161, -5.865, 7.886, 3.452]",Surprised,0.6,6837170d-b595-4d57-92a0-3125ba438c96,Senior,Male,English
3.23,274.03,141,0.014,0.034,"[4.478, -2.725, 2.959, 5.508, -8.218, 3.137, -7.785, 1.679, -7.18, -5.415, -0.068, 8.687, -3.113]",Surprised,0.55,a9c08051-d492-43ba-8e55-d69828460661,Child,Male,English
15.74,140.86,127,0.085,0.023,"[-7.935, 6.15, -8.868, 4.029, -7.369, 9.681, -4.767, 2.043, 8.798, 3.57, 2.28, -0.134, -2.856]",Calm,0.21,aa4e065d-66f4-4b92-8823-b916bafca916,Adult,Male,English
5.72,283.96,159,0.037,0.056,"[-3.654, 0.067, -7.861, -2.793, 4.011, -2.111, 0.151, -5.711, -5.08, -1.384, 8.64, 9.873, 5.697]",Surprised,0.39,c04d5eec-4bb6-411d-b059-04d3e5d59f11,Senior,Male,English
18.25,152.3,67,0.025,0.076,"[-6.978, -7.068, 8.27, -9.411, -0.714, -0.172, 8.567, -9.12, 8.164, 8.233, 6.996, 4.769, -4.842]",Bored,-0.09,36486c97-2079-423c-bda5-7f3bd5171696,Adult,Female,English
12.49,155.87,95,0.023,0.065,"[-4.831, -7.383, -2.2, -5.416, 7.288, -9.496, 5.07, -4.634, 1.761, -3.194, -6.821, -7.757, 1.938]",Calm,0.12,56db795b-de30-4551-a66d-c7d79db6b47f,Adult,Female,English
17.6,142.02,105,0.019,0.014,"[-6.565, -1.512, 5.565, 4.879, 6.132, -3.876, 0.382, 2.494, -9.468, 2.737, -5.94, 1.896, -2.466]",Calm,0.05,04f9b22d-41e6-497c-a9a3-faff502c63f4,Child,Male,English
13.38,170.91,92,0.053,0.078,"[-5.161, 0.921, -9.261, -8.302, -3.276, -8.27, 4.661, -9.045, 5.247, 0.058, -5.902, 4.895, 5.666]",Neutral,0.0,6256a607-7adc-410f-8165-6e4c83fcceb2,Adult,Male,English
6.13,224.17,131,0.09,0.055,"[2.828, 2.067, -5.222, -5.89, -0.751, -1.611, -7.338, -8.308, 0.522, -6.69, -9.999, 2.126, -9.909]",Happy,0.69,9956487f-416e-4f25-819b-dadc866fedd6,Adult,Male,English
17.41,150.9,60,0.026,0.079,"[-0.427, 7.123, 0.252, -2.921, 6.878, 1.138, -2.342, 5.408, -3.585, -7.189, -8.799, -2.378, -2.311]",Bored,-0.09,7707743b-f6d5-414e-b1ed-8df6e463a975,Adult,Female,English
8.55,148.59,103,0.095,0.05,"[-1.123, -3.158, 2.023, -5.725, 1.774, 6.499, -7.571, 5.759, 0.816, -3.374, -3.679, -8.577, 1.366]",Neutral,0.0,46b98c5b-24ae-4c34-b9ee-64bfbdced76b,Adult,Male,English
8.65,205.98,149,0.049,0.042,"[5.03, 2.851, 9.251, 1.466, 7.703, 2.985, 1.249, -8.573, 9.531, 2.243, 1.386, 2.261, 1.332]",Fearful,-0.2,956cc7ac-70c1-4aeb-8625-3e2d41b6c6d7,Adult,Male,English
5.97,239.96,171,0.012,0.047,"[6.184, 9.754, 9.616, 8.075, 0.571, 4.065, 5.762, -2.535, 6.422, 7.917, 7.999, -9.506, -8.659]",Happy,0.74,815f81da-cf2e-4db9-bac1-c1383ae9b090,Senior,Male,English
11.66,136.59,90,0.055,0.093,"[-9.277, -4.204, 4.112, -1.964, 2.515, 4.439, -7.99, 3.078, -4.158, -2.349, 5.844, 7.595, 7.172]",Sad,-0.24,19a3a839-deb0-4102-856f-024d026b67ad,Child,Female,English
7.98,220.18,154,0.031,0.053,"[9.434, -0.899, 6.105, 5.712, -1.225, -2.004, -2.18, -1.063, -7.346, -0.837, -0.779, -7.07, -3.546]",Happy,0.68,3dcf1a71-96e5-4337-97c3-f267500d3f84,Child,Male,English
10.1,201.13,113,0.064,0.086,"[9.273, 3.563, -1.177, -0.804, -8.322, -3.299, 6.804, 7.202, 7.459, -6.127, -7.039, -2.345, 2.121]",Fearful,-0.36,97fbd5c7-09fc-468e-a46f-5b2bdb9634fd,Adult,Female,English
8.36,202.17,185,0.077,0.081,"[9.374, 6.019, 3.096, 8.354, 7.202, 1.842, -1.63, 9.011, -6.644, -1.44, -4.137, 6.41, -9.102]",Excited,0.85,3a70ddd9-acd9-4f04-8f23-a36146a7b928,Adult,Male,English
9.41,256.4,176,0.017,0.011,"[3.364, 2.132, 6.367, -4.114, -3.206, 2.834, -9.005, -9.788, 2.709, -8.687, 5.501, 2.123, -8.434]",Angry,-0.69,c4f49d5d-0d1c-48a5-a7bd-29678cd2c900,Child,Male,English
6.41,264.43,150,0.052,0.013,"[8.026, -3.052, 0.18, -0.59, -1.605, 2.919, -7.039, -7.171, -4.156, -9.007, 6.953, 2.075, -8.557]",Excited,0.87,e1ec2b82-5ef1-47b5-915b-9e1b5d405ccb,Senior,Male,English
11.03,113.52,52,0.016,0.048,"[-2.087, 4.65, -1.321, -5.463, 7.82, 3.535, 0.805, 3.239, 6.748, 9.15, 5.761, -0.747, -9.848]",Sad,-0.22,2c08611b-d3cc-424f-aba2-4be41c21118c,Senior,Male,English
15.86,190.21,81,0.096,0.045,"[2.781, 0.202, -8.155, -3.421, 5.615, -0.718, 5.004, 7.292, 3.586, 8.407, -6.614, -2.274, -1.261]",Confused,0.17,f4f9efe0-21c1-4878-b1a8-3c8f7a027960,Senior,Male,English
14.31,156.35,113,0.066,0.025,"[-2.849, -8.142, -7.186, 2.09, -6.167, -0.581, 2.549, -0.074, -0.139, -4.778, -5.433, 3.023, 3.265]",Calm,0.28,162af47e-ea36-47e1-a080-6543d795f911,Adult,Female,English
14.05,149.28,67,0.018,0.092,"[2.198, 0.676, 8.701, 9.068, 3.772, -5.065, -9.63, -3.215, -3.581, -7.551, 9.027, 7.354, 5.212]",Bored,-0.24,50dcc396-35b8-4af0-8c16-200d1515ab24,Adult,Female,English
13.77,135.31,68,0.061,0.078,"[8.823, -1.599, -3.732, 6.917, -1.678, -2.928, -0.272, -9.715, -6.555, 3.351, 6.667, -2.087, 2.47]",Bored,0.08,db70ca1b-3a66-4611-97e5-162a31f8efe9,Child,Male,English
5.79,281.1,176,0.028,0.051,"[-9.271, 0.83, -2.957, 3.946, 4.156, 1.457, 2.051, -4.09, -0.543, -8.948, 2.664, -1.049, 9.571]",Angry,-0.71,63fd8fe9-2e79-4ce5-879e-b69dc248fcf6,Senior,Male,English
5.75,189.13,134,0.048,0.032,"[-5.552, 5.029, 2.02, 7.366, 7.81, 3.765, 6.939, 1.658, 0.851, -4.139, -3.15, -8.216, 6.676]",Happy,0.37,ad45154e-4250-4a4b-9d22-0b3e3e2498a7,Senior,Female,English
8.21,233.37,206,0.039,0.039,"[-5.088, -7.408, 6.654, 3.15, -2.578, -1.253, 1.311, 5.235, -8.166, -6.472, -8.066, 3.975, 3.455]",Excited,0.55,c2b5cdee-5d3c-4f33-8a49-089b95492a0f,Child,Female,English
16.47,136.99,77,0.018,0.095,"[6.555, 4.727, 3.69, -4.057, -0.633, -1.19, 2.636, -4.046, -0.267, 3.167, 1.926, -8.21, 1.791]",Sad,-0.42,d1c22e03-bd6d-454e-a3ac-a29a03dc5459,Adult,Male,English
11.74,195.56,103,0.064,0.05,"[-5.496, -5.072, -3.93, -9.785, -7.201, -8.569, 2.357, 4.709, -1.066, 0.331, 8.961, -1.81, -0.053]",Confused,-0.25,b13edc18-9d2e-45c6-9965-0bd53fc9dd85,Senior,Male,English
3.25,236.94,158,0.093,0.016,"[1.107, 8.234, -8.1, 8.171, -2.028, 3.254, 0.382, 5.385, -2.104, -1.961, 5.175, -2.199, 1.424]",Surprised,0.54,07294805-70c4-4489-a4b2-c19ca0489976,Child,Female,English
6.34,245.33,165,0.033,0.094,"[-2.034, -6.967, -4.06, 0.367, -4.358, -3.93, -2.379, 1.771, 9.085, -5.878, 8.674, 9.385, -8.233]",Excited,0.83,b8c53b7c-0e99-48bd-8224-b50dd54efa7f,Adult,Female,English
9.42,263.75,165,0.082,0.028,"[-1.142, -0.8, -2.489, 6.194, 0.351, -2.38, -3.485, -0.69, 5.678, 9.799, 0.332, 6.441, -9.292]",Excited,0.76,0d2a987d-f830-4260-aba0-cfc7e2e7dba5,Senior,Male,English
15.0,114.84,64,0.1,0.029,"[1.602, 7.377, -3.285, 1.543, -8.075, -1.66, 7.068, 8.265, -1.848, 9.288, -2.447, 7.026, 7.432]",Sad,-0.5,83e88924-c950-47b5-a7ba-17b381e0348e,Child,Male,English
7.19,315.5,179,0.043,0.094,"[-2.374, 3.094, -7.074, 0.035, 2.635, -8.501, -8.643, -3.09, 0.456, 9.042, -1.331, -0.519, -4.773]",Angry,-0.68,ddd00ea8-7443-41f3-a57f-a18715dd7899,Child,Female,English
17.47,140.97,115,0.069,0.088,"[2.758, -8.083, 2.766, 1.843, -8.28, -4.396, -5.152, -9.798, 4.909, 0.752, -8.252, -1.0, -3.22]",Calm,0.12,81169545-243f-45c6-82f7-976460928ee6,Child,Female,English
7.71,250.63,140,0.098,0.08,"[-6.981, 6.327, 6.383, -0.519, 6.014, -8.475, -6.428, -5.893, 3.422, 8.451, -8.0, 3.289, 3.152]",Surprised,0.55,fd6314f9-82b7-46d6-9f63-6a672e91af30,Child,Male,English
12.81,261.13,160,0.027,0.02,"[-1.659, 4.324, -5.334, 0.016, 0.762, 8.297, -2.164, 7.428, 1.469, -7.634, 9.15, -7.295, -9.189]",Fearful,-0.54,e7110f32-26ae-498a-a37d-77c5a76915c9,Senior,Male,English
9.65,195.56,92,0.042,0.033,"[0.185, -2.126, -1.57, 3.185, 0.291, -1.182, -0.877, -8.374, 2.146, -5.42, 6.363, 5.354, -4.334]",Confused,-0.35,0ef414e9-e27a-4022-841c-f513b6784aae,Child,Male,English
14.62,174.43,122,0.072,0.044,"[5.755, -6.196, -7.735, -2.652, -7.456, 9.032, 5.48, -3.072, -5.598, 3.566, 2.418, 6.37, -0.644]",Calm,0.29,affada4b-77fa-4c2d-9a69-e77d7739d447,Adult,Female,English
11.22,296.12,194,0.061,0.029,"[3.832, -10.0, -5.327, 5.822, 3.206, -7.992, 1.284, 6.625, -8.304, 7.974, 5.335, 2.083, -1.233]",Angry,-0.51,e2af5e76-fb95-4320-a200-ccfd54b8b187,Adult,Male,English
8.85,315.82,179,0.017,0.072,"[4.482, 7.06, 9.8, -8.67, 6.089, 3.394, 0.942, 4.562, -6.479, 4.246, -2.893, 9.111, -9.374]",Angry,-0.59,65973c33-4caa-4bcc-8ece-ee81c01e3356,Adult,Female,English
10.71,158.48,90,0.054,0.097,"[-7.981, -5.967, -4.582, -6.376, 9.077, -1.432, -9.153, 2.338, 7.833, 3.702, 0.3, -9.483, 5.628]",Neutral,0.0,5c0129f7-9eaa-4499-ba07-491a3cec69ce,Senior,Male,English
12.52,151.15,115,0.064,0.087,"[4.575, 6.392, 9.83, -2.7, 7.129, -3.668, -4.33, -6.74, -1.554, -3.285, -8.861, 8.615, -2.983]",Neutral,0.0,eed3ffa4-282f-4fce-b1fd-4191ba1d59c9,Adult,Female,English
13.62,154.8,106,0.029,0.017,"[-4.248, -2.401, 3.002, 6.56, 6.841, 1.217, 5.79, -4.662, 2.137, 0.728, 5.93, 6.453, 3.437]",Calm,0.18,b7205259-5c0c-4a92-9896-d709dc613729,Adult,Female,English
4.41,299.97,145,0.048,0.029,"[-5.991, 6.419, -4.867, 9.865, -4.168, 3.012, 9.687, -3.547, 6.482, -9.921, 7.78, 8.532, 8.857]",Surprised,0.44,26bc229e-93b4-40b0-a776-959fe8521370,Adult,Female,English
4.49,269.08,130,0.032,0.064,"[-2.969, -7.316, -2.06, -2.735, 1.649, 0.106, 8.389, -9.351, 8.493, -1.274, 2.486, -2.134, 9.568]",Surprised,0.24,e67b051a-d08c-43c9-8b04-0023eb840afb,Senior,Male,English
7.05,230.03,151,0.055,0.044,"[1.594, -0.997, -5.624, -7.11, 1.811, 5.589, -9.882, -9.371, -3.703, 6.369, -2.835, 7.651, -0.754]",Happy,0.74,e046c803-fd67-4f8c-a8aa-fbf5b43bbacd,Adult,Female,English
15.4,216.59,76,0.072,0.062,"[-1.561, -0.472, 0.401, -0.772, -1.367, -9.495, 6.525, -4.383, -0.94, 3.251, -8.108, -6.433, 9.867]",Confused,-0.11,a4c07851-ea76-43fc-bc50-99363b9c2a89,Senior,Female,English
14.66,132.95,70,0.045,0.056,"[0.308, -7.452, 7.933, 7.711, -0.465, 4.359, -5.833, 2.335, -9.621, 9.294, 9.941, 2.349, -0.01]",Sad,-0.21,1ea0abe2-a1b5-4cff-820d-67391dbc1c8f,Senior,Female,English
13.82,164.95,93,0.037,0.022,"[-5.976, -8.159, -6.233, 1.905, -5.223, 7.46, -5.991, 4.638, -2.382, 4.196, -3.912, 3.616, -7.524]",Neutral,0.0,e1ca2922-76b8-4972-a6af-ad18aaabe8ae,Child,Male,English
9.09,276.36,147,0.087,0.04,"[-9.608, 3.63, -0.875, -2.147, 1.216, 6.106, -0.189, -0.877, -9.61, -9.932, 6.673, -2.384, 8.995]",Angry,-0.86,8e0429d4-f92a-4da6-b812-c13f3034e179,Adult,Male,English
18.05,138.92,59,0.032,0.08,"[1.85, -6.006, 2.066, 1.035, -4.18, -7.737, -7.124, 3.245, 4.907, 9.484, 0.783, 3.252, 8.658]",Sad,-0.65,a9610137-6e12-432b-9a70-d2e5d81d33cf,Senior,Female,English
8.86,236.13,195,0.026,0.097,"[5.557, 5.593, 3.69, -1.843, -4.462, -0.637, 0.662, -3.327, 0.902, 8.242, -8.645, -3.292, -8.137]",Excited,0.61,01dbf56c-247f-4626-9fa4-402aac3df1a4,Child,Female,English
11.1,141.8,130,0.085,0.037,"[2.075, -7.278, -2.752, -1.708, -1.313, 4.187, 6.588, -5.672, 9.776, 3.357, -5.271, 8.727, 0.592]",Neutral,0.0,b9a26228-a8a8-4b16-8c55-559d12dc2760,Adult,Male,English
